Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
111568,491.11,293.91,0.80,114128.00,0.73,1303.22,Besni
61556,340.78,231.44,0.73,63181.00,0.73,956.30,Besni
47609,331.89,184.21,0.83,49720.00,0.75,874.09,Besni
61861,345.94,235.43,0.73,67390.00,0.70,1063.62,Besni
84855,420.35,275.88,0.75,90768.00,0.67,1172.64,Besni
127292,639.85,258.38,0.91,129101.00,0.53,1496.06,Besni
125968,522.54,308.05,0.81,129444.00,0.74,1414.08,Besni
48488,275.34,226.80,0.57,50103.00,0.67,859.33,Besni
84774,416.28,264.10,0.77,90393.00,0.70,1209.58,Besni
78921,376.99,268.83,0.70,82584.00,0.72,1144.96,Besni
145235,609.63,306.61,0.86,148876.00,0.68,1538.32,Besni
87039,497.06,236.21,0.88,96247.00,0.64,1271.34,Besni
181126,949.66,293.39,0.95,225592.00,0.41,2352.03,Besni
142419,580.44,318.18,0.84,145899.00,0.75,1512.66,Besni
92619,398.62,296.88,0.67,95666.00,0.74,1173.39,Besni
68510,348.40,252.99,0.69,70513.00,0.67,1028.84,Besni
48551,302.81,205.96,0.73,50748.00,0.74,862.00,Besni
92472,424.42,282.21,0.75,95982.00,0.75,1204.61,Besni
100928,465.18,287.02,0.79,105549.00,0.69,1310.51,Besni
96920,447.60,277.44,0.78,100285.00,0.69,1229.91,Besni
96762,457.48,277.39,0.80,101717.00,0.79,1248.75,Besni
151908,594.18,328.57,0.83,155600.00,0.72,1560.02,Besni
75368,387.85,250.58,0.76,77706.00,0.74,1078.41,Besni
168269,614.38,353.47,0.82,173527.00,0.76,1641.46,Besni
99333,422.88,302.21,0.70,101942.00,0.72,1191.35,Besni
102722,416.90,317.54,0.65,107169.00,0.72,1261.99,Besni
104468,542.18,250.06,0.89,108119.00,0.65,1360.50,Besni
73699,408.59,231.14,0.82,76106.00,0.70,1079.58,Besni
71918,448.53,207.75,0.89,75002.00,0.70,1091.50,Besni
127933,560.72,294.66,0.85,130766.00,0.67,1426.60,Besni
73294,445.25,217.62,0.87,76157.00,0.65,1147.60,Besni
189069,679.49,357.05,0.85,195810.00,0.61,1831.91,Besni
159064,570.22,368.22,0.76,165584.00,0.78,1563.83,Besni
120818,492.61,315.20,0.77,123230.00,0.67,1311.52,Besni
59890,402.42,194.67,0.88,61673.00,0.72,1034.14,Besni
137593,558.06,316.71,0.82,142114.00,0.68,1478.60,Besni
166654,608.00,349.66,0.82,169060.00,0.75,1574.16,Besni
55858,298.86,239.90,0.60,58630.00,0.68,915.13,Besni
105308,473.31,284.17,0.80,108094.00,0.79,1259.93,Besni
67468,424.56,207.82,0.87,70674.00,0.61,1105.04,Besni
132680,549.87,308.39,0.83,136612.00,0.65,1453.90,Besni
154197,582.61,343.26,0.81,160008.00,0.76,1555.82,Besni
225043,740.00,390.30,0.85,229195.00,0.74,1853.89,Besni
66613,433.19,199.81,0.89,70454.00,0.71,1085.16,Besni
141559,594.11,306.31,0.86,146674.00,0.76,1530.60,Besni
77622,460.14,226.58,0.87,82990.00,0.65,1205.14,Besni
179668,690.43,332.55,0.88,181954.00,0.78,1681.99,Besni
105091,507.69,268.09,0.85,108296.00,0.70,1295.59,Besni
66938,356.32,248.67,0.72,69880.00,0.71,1022.71,Besni
97494,451.78,278.28,0.79,101878.00,0.69,1254.76,Besni
101770,468.67,279.81,0.80,103475.00,0.79,1233.82,Besni
88338,504.48,227.13,0.89,90790.00,0.73,1230.49,Besni
119336,563.55,275.36,0.87,125523.00,0.67,1469.76,Besni
126019,520.68,316.19,0.79,130948.00,0.69,1422.24,Besni
154498,621.35,318.60,0.86,159694.00,0.75,1585.78,Besni
82632,471.37,227.39,0.88,87501.00,0.63,1243.99,Besni
218459,571.29,492.28,0.51,228259.00,0.73,1947.46,Besni
150420,607.71,316.81,0.85,153905.00,0.64,1557.27,Besni
110296,487.69,289.92,0.80,113271.00,0.69,1316.11,Besni
171264,609.64,359.22,0.81,174156.00,0.77,1592.10,Besni
110936,500.93,286.25,0.82,113888.00,0.73,1319.44,Besni
54502,346.46,204.08,0.81,56464.00,0.64,927.28,Besni
142415,532.08,342.42,0.77,144862.00,0.77,1449.80,Besni
94282,494.16,244.80,0.87,97707.00,0.70,1269.68,Besni
68799,356.57,253.25,0.70,71879.00,0.70,1041.27,Besni
79058,454.44,236.96,0.85,82555.00,0.58,1175.03,Besni
85646,469.77,238.54,0.86,92673.00,0.68,1226.89,Besni
107486,462.81,296.09,0.77,108914.00,0.76,1235.08,Besni
149703,637.87,304.62,0.88,154549.00,0.59,1596.36,Besni
187391,660.66,362.32,0.84,189799.00,0.71,1682.48,Besni
115272,511.47,291.59,0.82,119773.00,0.62,1392.65,Besni
83248,430.08,247.84,0.82,85839.00,0.67,1129.07,Besni
87350,440.74,259.29,0.81,90899.00,0.64,1214.25,Besni
99657,431.71,298.84,0.72,106264.00,0.74,1292.83,Besni
93523,476.34,254.18,0.85,97653.00,0.66,1258.55,Besni
85609,512.08,215.27,0.91,89197.00,0.63,1272.86,Besni
